MAINTENANCE_AGENCY_ID,CUBE_LINK_ID,CODE,NAME,DESCRIPTION,VALID_FROM,VALID_TO,VERSION,ORDER_RELEVANCE,PRIMARY_CUBE_ID,FOREIGN_CUBE_ID,CUBE_LINK_TYPE,JOIN_IDENTIFIER
,F_04_02_1_REF_FINREP_3_0:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,,,,,LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,F_04_02_1_REF_FINREP_3_0,,Equity instruments
,F_04_02_1_REF_FINREP_3_0:LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,,,,,LNG_NN_NGTBL_SCRTY_PSTN,F_04_02_1_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_02_1_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,SCRTY_PSTN:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_02_1_REF_FINREP_3_0,,Debt securities
,F_04_02_1_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_02_1_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_02_1_REF_FINREP_3_0:LN_EXCLDNG_RPRCHS_AGRMNT:Other Loans,,OTHR_LN:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,,,,,LN_EXCLDNG_RPRCHS_AGRMNT,F_04_02_1_REF_FINREP_3_0,,Other Loans
,F_04_02_1_REF_FINREP_3_0:OTHR_LN:Other Loans,,OTHR_LN:Other Loans:OTHR_LN,OTHR_LN:TYP_INSTRMNT_149:Other Loans:OTHR_LN,,,,,OTHR_LN,F_04_02_1_REF_FINREP_3_0,,Other Loans
,F_04_02_1_REF_FINREP_3_0:PRTY:Other Loans,,OTHR_LN:Other Loans:PRTY,OTHR_LN:TYP_INSTRMNT_149:Other Loans:PRTY,,,,,PRTY,F_04_02_1_REF_FINREP_3_0,,Other Loans
,F_04_02_1_REF_FINREP_3_0:SCRTY_PSTN:Debt securities,,SCRTY_PSTN:Debt securities:SCRTY_PSTN,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:SCRTY_PSTN,,,,,SCRTY_PSTN,F_04_02_1_REF_FINREP_3_0,,Debt securities
,F_04_02_2_REF_FINREP_3_0:EQTY_FND_SCRTY:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:EQTY_FND_SCRTY,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:EQTY_FND_SCRTY,,,,,EQTY_FND_SCRTY,F_04_02_2_REF_FINREP_3_0,,Equity instruments
,F_04_02_2_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT,,,,,FNNCL_ASST_INSTRMNT,F_04_02_2_REF_FINREP_3_0,,Other Loans
,F_04_02_2_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT_DRVD_DT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,,,,,FNNCL_ASST_INSTRMNT_DRVD_DT,F_04_02_2_REF_FINREP_3_0,,Other Loans
,F_04_02_2_REF_FINREP_3_0:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,,,,,LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,F_04_02_2_REF_FINREP_3_0,,Equity instruments
,F_04_02_2_REF_FINREP_3_0:LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,,,,,LNG_NN_NGTBL_SCRTY_PSTN,F_04_02_2_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_02_2_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,SCRTY_PSTN:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_02_2_REF_FINREP_3_0,,Debt securities
,F_04_02_2_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_02_2_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_02_2_REF_FINREP_3_0:LN_EXCLDNG_RPRCHS_AGRMNT:Other Loans,,OTHR_LN:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,,,,,LN_EXCLDNG_RPRCHS_AGRMNT,F_04_02_2_REF_FINREP_3_0,,Other Loans
,F_04_02_2_REF_FINREP_3_0:OTHR_LN:Other Loans,,OTHR_LN:Other Loans:OTHR_LN,OTHR_LN:TYP_INSTRMNT_149:Other Loans:OTHR_LN,,,,,OTHR_LN,F_04_02_2_REF_FINREP_3_0,,Other Loans
,F_04_02_2_REF_FINREP_3_0:PRTY:Other Loans,,OTHR_LN:Other Loans:PRTY,OTHR_LN:TYP_INSTRMNT_149:Other Loans:PRTY,,,,,PRTY,F_04_02_2_REF_FINREP_3_0,,Other Loans
,F_04_02_2_REF_FINREP_3_0:SCRTY_PSTN:Debt securities,,SCRTY_PSTN:Debt securities:SCRTY_PSTN,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:SCRTY_PSTN,,,,,SCRTY_PSTN,F_04_02_2_REF_FINREP_3_0,,Debt securities
,F_04_03_1_REF_FINREP_3_0:EQTY_FND_SCRTY:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:EQTY_FND_SCRTY,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:EQTY_FND_SCRTY,,,,,EQTY_FND_SCRTY,F_04_03_1_REF_FINREP_3_0,,Equity instruments
,F_04_03_1_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT,,,,,FNNCL_ASST_INSTRMNT,F_04_03_1_REF_FINREP_3_0,,Other Loans
,F_04_03_1_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT_DRVD_DT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,,,,,FNNCL_ASST_INSTRMNT_DRVD_DT,F_04_03_1_REF_FINREP_3_0,,Other Loans
,F_04_03_1_REF_FINREP_3_0:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,,,,,LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,F_04_03_1_REF_FINREP_3_0,,Equity instruments
,F_04_03_1_REF_FINREP_3_0:LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,,,,,LNG_NN_NGTBL_SCRTY_PSTN,F_04_03_1_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_03_1_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,SCRTY_PSTN:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_03_1_REF_FINREP_3_0,,Debt securities
,F_04_03_1_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_03_1_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_03_1_REF_FINREP_3_0:LN_EXCLDNG_RPRCHS_AGRMNT:Other Loans,,OTHR_LN:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,,,,,LN_EXCLDNG_RPRCHS_AGRMNT,F_04_03_1_REF_FINREP_3_0,,Other Loans
,F_04_03_1_REF_FINREP_3_0:OTHR_LN:Other Loans,,OTHR_LN:Other Loans:OTHR_LN,OTHR_LN:TYP_INSTRMNT_149:Other Loans:OTHR_LN,,,,,OTHR_LN,F_04_03_1_REF_FINREP_3_0,,Other Loans
,F_04_03_1_REF_FINREP_3_0:PRTY:Other Loans,,OTHR_LN:Other Loans:PRTY,OTHR_LN:TYP_INSTRMNT_149:Other Loans:PRTY,,,,,PRTY,F_04_03_1_REF_FINREP_3_0,,Other Loans
,F_04_03_1_REF_FINREP_3_0:SCRTY_PSTN:Debt securities,,SCRTY_PSTN:Debt securities:SCRTY_PSTN,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:SCRTY_PSTN,,,,,SCRTY_PSTN,F_04_03_1_REF_FINREP_3_0,,Debt securities
,F_04_04_1_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT,,,,,FNNCL_ASST_INSTRMNT,F_04_04_1_REF_FINREP_3_0,,Other Loans
,F_04_04_1_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT_DRVD_DT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,,,,,FNNCL_ASST_INSTRMNT_DRVD_DT,F_04_04_1_REF_FINREP_3_0,,Other Loans
,F_04_04_1_REF_FINREP_3_0:LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,,,,,LNG_NN_NGTBL_SCRTY_PSTN,F_04_04_1_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_04_1_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,SCRTY_PSTN:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_04_1_REF_FINREP_3_0,,Debt securities
,F_04_04_1_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_04_1_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_04_1_REF_FINREP_3_0:LN_EXCLDNG_RPRCHS_AGRMNT:Other Loans,,OTHR_LN:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,,,,,LN_EXCLDNG_RPRCHS_AGRMNT,F_04_04_1_REF_FINREP_3_0,,Other Loans
,F_04_04_1_REF_FINREP_3_0:OTHR_LN:Other Loans,,OTHR_LN:Other Loans:OTHR_LN,OTHR_LN:TYP_INSTRMNT_149:Other Loans:OTHR_LN,,,,,OTHR_LN,F_04_04_1_REF_FINREP_3_0,,Other Loans
,F_04_04_1_REF_FINREP_3_0:PRTY:Other Loans,,OTHR_LN:Other Loans:PRTY,OTHR_LN:TYP_INSTRMNT_149:Other Loans:PRTY,,,,,PRTY,F_04_04_1_REF_FINREP_3_0,,Other Loans
,F_04_04_1_REF_FINREP_3_0:SCRTY_PSTN:Debt securities,,SCRTY_PSTN:Debt securities:SCRTY_PSTN,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:SCRTY_PSTN,,,,,SCRTY_PSTN,F_04_04_1_REF_FINREP_3_0,,Debt securities
,F_04_05_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT,,,,,FNNCL_ASST_INSTRMNT,F_04_05_REF_FINREP_3_0,,Other Loans
,F_04_05_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT_DRVD_DT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,,,,,FNNCL_ASST_INSTRMNT_DRVD_DT,F_04_05_REF_FINREP_3_0,,Other Loans
,F_04_05_REF_FINREP_3_0:LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,,,,,LNG_NN_NGTBL_SCRTY_PSTN,F_04_05_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_05_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,SCRTY_PSTN:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_05_REF_FINREP_3_0,,Debt securities
,F_04_05_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_05_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_05_REF_FINREP_3_0:LN_EXCLDNG_RPRCHS_AGRMNT:Other Loans,,OTHR_LN:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:LN_EXCLDNG_RPRCHS_AGRMNT,,,,,LN_EXCLDNG_RPRCHS_AGRMNT,F_04_05_REF_FINREP_3_0,,Other Loans
,F_04_05_REF_FINREP_3_0:OTHR_LN:Other Loans,,OTHR_LN:Other Loans:OTHR_LN,OTHR_LN:TYP_INSTRMNT_149:Other Loans:OTHR_LN,,,,,OTHR_LN,F_04_05_REF_FINREP_3_0,,Other Loans
,F_04_05_REF_FINREP_3_0:PRTY:Other Loans,,OTHR_LN:Other Loans:PRTY,OTHR_LN:TYP_INSTRMNT_149:Other Loans:PRTY,,,,,PRTY,F_04_05_REF_FINREP_3_0,,Other Loans
,F_04_05_REF_FINREP_3_0:SCRTY_PSTN:Debt securities,,SCRTY_PSTN:Debt securities:SCRTY_PSTN,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:SCRTY_PSTN,,,,,SCRTY_PSTN,F_04_05_REF_FINREP_3_0,,Debt securities
,F_04_06_REF_FINREP_3_0:EQTY_FND_SCRTY:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:EQTY_FND_SCRTY,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:EQTY_FND_SCRTY,,,,,EQTY_FND_SCRTY,F_04_06_REF_FINREP_3_0,,Equity instruments
,F_04_06_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT,,,,,FNNCL_ASST_INSTRMNT,F_04_06_REF_FINREP_3_0,,Other Loans
,F_04_06_REF_FINREP_3_0:FNNCL_ASST_INSTRMNT_DRVD_DT:Other Loans,,OTHR_LN:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,OTHR_LN:TYP_INSTRMNT_149:Other Loans:FNNCL_ASST_INSTRMNT_DRVD_DT,,,,,FNNCL_ASST_INSTRMNT_DRVD_DT,F_04_06_REF_FINREP_3_0,,Other Loans
,F_04_06_REF_FINREP_3_0:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS:Equity instruments,,EQTY_FND_SCRTY:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,EQTY_FND_SCRTY:TYP_INSTRMNT_241:Equity instruments:LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,,,,,LNG_EQUTY_FND_SCRTY_PSTN_PRDNTL_PRFL_ASSGNMNT_ACCNTNG_CLSSFCTN_ASST_ASSGNMNT_IFRS,F_04_06_REF_FINREP_3_0,,Equity instruments
,F_04_06_REF_FINREP_3_0:LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_NN_NGTBL_SCRTY_PSTN,,,,,LNG_NN_NGTBL_SCRTY_PSTN,F_04_06_REF_FINREP_3_0,,Non Negotiable bonds
,F_04_06_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Debt securities,,SCRTY_PSTN:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,SCRTY_PSTN:TYP_INSTRMNT_210:Debt securities:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_06_REF_FINREP_3_0,,Debt securities
,F_04_06_REF_FINREP_3_0:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT:Non Negotiable bonds,,LNG_NN_NGTBL_SCRTY_PSTN:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,LNG_NN_NGTBL_SCRTY_PSTN:TYP_INSTRMNT_149:Non Negotiable bonds:LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,,,,,LNG_SCRTY_PSTN_PRDNTL_PRTFL_ASSGNMNT_ACCNTNG_CLSSFCTN_FNNCL_ASSTS_ASSGNMNT,F_04_06_REF_FINREP_3_0,,Non Negotiable bonds
